FirmAuthToken,FirmName
TSY3M,Empire A
TFAZC,Empire B
T7BSS,Sparrow Fund Management
TCQ0Q,BRX Global LP
TZCM6,Durant Partners LLC
TA6BP,Nishkama Capital LLC
TQGR7,Raptor Capital Management LP
T7JD1,Natare Capital Management LP
TCXKZ,"Saola Capital Management, LP"
TFMW8,Harrington Global Limited
T2AFQ,Zero G Capital Management
TN036,Coast Capital Management LP
TWZ8S,Conatus Capital Management LP
T7NPN,"Ratan Capital Management, LP"
TJC4H,Caerus Investors LLC
TACYY,"Peace Bridge Partners, LP"
TTEKR,Sage Rock Capital Management LP
TD477,Lanternback Capital
TJFE5,"Tenzing Global Management, LLC"
T7S09,Alpine Peaks Capital LP
TFVFG,"Alpha Group Capital, LLC"
TX5W1,Renner Capital Partners LLC
T2H2Z,Dockyard Capital Management LP
TN6PE,"Detroit Street Partners Inc."
TQTN3,SQN Investors
TD7GV,Lexington Capital Management LP
TQXYQ,Brightlight Capital Management LP
TAKJ6,"Angel Island Capital Management, LLC"
TFYS4,"Teca Partners, LP"
TX95N,"Brenham Capital Management, L.P"
TNA02,"Invenire Capital, LLC"
TTN70,"Navemar Capital Management LP"
T7ZKH,"StructureVest Capital, LLC"
TDATF,"Solstein Capital, LLC"
T00DY,"Teewinot Capital Advisers LLC"
T5BMW,"Rip Road Capital Partners LP"
TJP1D,"Chakra Capital Partners LP"
TR18B,"Scoragon Capital LLC"
TAPVT,"Meru Capital Group, LP"
TXCF9,"Akera Capital LLC"
T82X5,"Axiomada, LP"
TTRGM,"Center Lake Capital Management LLC"
TDE43,"Tabor Asset Management"
TJSB1,"Coalescence Partners Investment Management LP"
TAT5E,"FourWorld Capital Management LLC"
TR4HZ,"Lionstone Capital Management LLC"
T5EYG,"Warshaw Asset Management LLC"
TXFRX,"WestCliff Capital Management LLC"
TG5CC,"Banbury Partners LLC"
T2TZV,"Contra Partners, LP"
T866S,"Deep Field Asset Management LLC"
TNGKA,"Alexander Road Management LP"
TTVT8,"Cliffwater LLC"
TDHDQ,"Kelan Capital, LLC"
T0716,"Contego Capital Group, LLC"
TJWMN,"Octavian Capital Partners LP"
T5J84,"Fox Point Capital Management LLC"
TR7VK,"Wyers Point LP"
TAXF2,"Harvest Capital Strategies LLC"
TXK2H,"Atlas Impact Partners LP"
T89GD,"Nexthera Capital LP"
TTZ3W,"GeoSphere Capital Management, LLC"
TDMQB,"KG Funds Management LLC"
T0AAT,"Navy Capital Green Management LLC"
TB0RP,"Corsair Capital Management, L.P."
TXPC5,"Heron Bay Capital Partners LLC"
TGBZM,"BCK Capital Management LP"
T31K3,"Fairgreen Capital Limited"
TNQ6J,"Arena Holdings Management LLC"
TV2DG,"Greenhaven Road Investment Management, LP"
T8CT1,"High Rock Asset Management L.P"
TDR0Z,"Gratia Capital, LLC"
T0DME,"MuTaka Capital KK"
TK37X,"Vernier Capital Partners, LP"
T5RVC,"Ranger Alternative Management, L.P."
TREEV,"Trellus Management Company, LLC"
TB42A,"The Rock Creek Group, LLC"
TXSNS,"Duro Capital (Singapore) Advisors Pte. Ltd"
T8G3N,"Alium Capital Pty Ltd"
TV5Q4,"Cannon Global Investment Management,LLC"
TDVAK,"LFCC Management Limited"
TK6HH,"Mass Ave Global, Inc."
T5W50,"Panview Capital Hong Kong Limited"
TRHRF,"Luxence Capital Limited"
TB7BY,"Voss Capital LLC"
TXWZD,"Brevan Howard Hong Kong Limited"
TGJJW,"TriVista Capital Inc."
TNXST,"Belerion Capital Group Ltd"
TDYM7,"Elm Ridge Management, LLC"
T0M7P,"Six Columns Capital LP"
TK9V5,"Camber Capital Management LP"
TRN23,"Miura Global Management, LLC"
TBANJ,"Parantoux Capital Limited"
TY091,"Amansa Capital Pte. Ltd"
T3BFZ,"Bloom Tree Partners LLC"
TP13E,"TIH Investment Management Pte Ltd"
T8PPX,"Oelschlager Investments LLC"
TNTG6,"QQQ Capital Management Pte. Ltd"
TVCAC,"Blue Creek Capital Management Limited"
TE1XV,"Dawn Capital Limited"
T0QHA,"VARECS Partners Limited"
TBDZ6,"Habrok Capital Management LLP"
TY3JN,"Arborvitae Capital Pte. Ltd."
TGS64,"Alta Park Capital, LP"
T3ESK,"Honeycomb Asset Management LP"
TP4D2,"Farringdon Capital Management"
T8T0H,"Peregrine Capital Management, Inc."
TVFM0,"F & F MANAGEMENT PTY. LTD."
TE57F,"Firefly Value Partners, LP"
T0TTY,"Maximus Long Short Equity Management, LP"
TKGED,"1060 Capital LLC"
T661W,"Alight Capital Management LP"
TRVNB,"Altarock Partners, LLC"
TBH8T,"Bergamot Asset Management LLC"
TY6W9,"Burren Capital Advisors Limited"
TGWFR,"Actelligent Capital Management Limited"
T3J37,"Valliance Asset Management Limited"
TP7PP,"Lab Quantitative Strategies, LLC"
T8XA5,"Sierra Global Management LLC"
TVJXM,"Sourcerock Group LLC"
T0Y4J,"Tiger Legatus Capital Management, LLC"
TKKR1,"Argos Global Advisors LLC"
T69BG,"Pacific Road Capital Management"
TRYYZ,"Hill City Capital LP"
TBMJE,"Bellator Asset Management"
TE8H3,"Highline Capital Management, L.P."
TYA5X,"Sage Partners Limited"
T34WQ,"Gobi Capital LLC"
TGZSC,"S2 Technology LLC"
T3NCV,"Cartenna Capital LP"
TPB0A,"Feoh Investments UK LLP"
T90KS,"Trybe Capital Management LP"
TVP78,"Violin Equity LLC"
TEBTQ,"Atlas Square Partners LLP"
T11E6,"Aslead Capital Pte. Ltd."
TKQ1N,"Shukr Investments LLC"
T6CN4,"Medina Singh Partners, LLC"
TS28K,"Heron Bay Capital, LLC"
TBQW2,"Schweitzer Investment Co., Ltd"
TYDFH,"Long Path Partners LLC"
TH330,"Credit Capital Investments, LLC on behalf of Teak Hill Master Fund LP"
T3RPF,"Marketfield Asset Management LLC"
TPE9Y,"VisionGain Capital Limited"
T93XD,"Lucerne Capital Management, LLC"
TVSGW,"Sovarnum Capital L.P."
TEF4B,"Roubaix Capital, LLC"
T14QT,"Hickory Lane Capital Management LP"
TKTB9,"Upper Capital Management Limited"